NAME,MBID,LISTENERS,URL,STREAMABLE,IMAGE_SMALL,IMAGE_LARGE
Alice in Chains,4bd95eea-b9f6-4d70-a36c-cfea77431553,2609711,https://www.last.fm/music/Alice+in+Chains,0,,
Alicia Keys,8ef1df30-ae4f-4dbd-9351-1a32b208a01e,3268110,https://www.last.fm/music/Alicia+Keys,0,,
Alice Cooper,ee58c59f-8e7f-4430-b8ca-236c4d3745ae,1764198,https://www.last.fm/music/Alice+Cooper,0,,
Wolf Alice,3547f34a-db02-4ab7-b4a0-380e1ef951a9,845725,https://www.last.fm/music/Wolf+Alice,0,,
Allie X,,624377,https://www.last.fm/music/Allie+X,0,,
Aaliyah,bc85da58-52d9-457d-ae8d-5d8d4ec870a9,1592409,https://www.last.fm/music/Aaliyah,0,,
Alina Baraz,,723833,https://www.last.fm/music/Alina+Baraz,0,,
Alien Ant Farm,8ac6cc32-8ddf-43b1-9ac4-4b04f9053176,1363513,https://www.last.fm/music/Alien+Ant+Farm,0,,
Alice Phoebe Lou,,463642,https://www.last.fm/music/Alice+Phoebe+Lou,0,,
Alligatoah,ebf76ca6-a2c5-4d3a-8e84-7fa3be9e22ab,150853,https://www.last.fm/music/Alligatoah,0,,
Black Alien,46a7b248-112e-4e62-bc32-aeea5029f53b,153431,https://www.last.fm/music/Black+Alien,0,,
Gabrielle Aplin,4abebe04-1e85-427b-9950-563945850f2e,605333,https://www.last.fm/music/Gabrielle+Aplin,0,,
Tonight Alive,712dbd18-d8fd-4bd0-a5b5-edb9577c493f,290971,https://www.last.fm/music/Tonight+Alive,0,,
Ali Gatie,,422309,https://www.last.fm/music/Ali+Gatie,0,,
Alfie Templeman,,349833,https://www.last.fm/music/Alfie+Templeman,0,,
The Whitest Boy Alive,f83781c8-64f9-4657-85bd-51f74d195cfd,919462,https://www.last.fm/music/The+Whitest+Boy+Alive,0,,
Ali,fcd649fc-e4c5-4ce6-a3a8-5ce15d67a9a8,293076,https://www.last.fm/music/Ali,0,,
The Word Alive,e2cd69b3-ef80-4d53-aa86-a97d6f44573a,475959,https://www.last.fm/music/The+Word+Alive,0,,
Alice Deejay,76bee0a6-10fc-416c-a8fd-d9c91ee9642c,667782,https://www.last.fm/music/Alice+Deejay,0,,
Alizée,a344d1d3-bc5e-4a59-95f1-814999d009ac,346894,https://www.last.fm/music/Aliz%C3%A9e,0,,
Alcione,51bde19b-feed-4e6c-99e7-84327defabe2,250385,https://www.last.fm/music/Alcione,0,,
Alison Wonderland,,261251,https://www.last.fm/music/Alison+Wonderland,0,,
Alice Merton,,342448,https://www.last.fm/music/Alice+Merton,0,,
Dead or Alive,98720123-fcec-47be-9e88-29a310fb2942,1014067,https://www.last.fm/music/Dead+or+Alive,0,,
Ailee,cecc42fb-9657-4b54-ad2f-7b73eefaef12,166120,https://www.last.fm/music/Ailee,0,,
Altin Gün,,146477,https://www.last.fm/music/Altin+G%C3%BCn,0,,
Alice Longyu Gao,,207221,https://www.last.fm/music/Alice+Longyu+Gao,0,,
Alice Glass,,197264,https://www.last.fm/music/Alice+Glass,0,,
Auli'i Cravalho,,358471,https://www.last.fm/music/Auli%27i+Cravalho,0,,
Alice Coltrane,d24fc285-7b2f-47da-8ac5-4070b08570b1,308998,https://www.last.fm/music/Alice+Coltrane,0,,
